,A1,A2,A3,A4,A5,A6,A7,AN1,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,AN10,AN11,AN12
B1,"[[12, 1, 1.0]]",[],[],[],[],[],[],"[[11, -1, 1.0], [12, -1, -1.0]]",[],"[[10, -1, -1.0], [11, -1, 1.0], [13, 1, -1.0], [14, -1, -1.0]]",[],[],[],[],[],[],[],[],[]
B2,[],[],[],[],[],[],[],[],"[[1, 1, 1.0], [6, -1, 1.0], [12, -1, 1.0], [13, 1, 1.0]]",[],"[[2, -1, 1.0], [13, 1, 1.0]]","[[1, -1, 1.0], [3, 1, 1.0], [4, 1, 1.0], [6, -1, 1.0]]",[],[],[],[],[],[],[]
B3,[],"[[2, -1, 1.0], [3, 1, -1.0], [14, -1, 1.0], [15, 1, -1.0]]","[[1, -1, 1.0], [8, 1, -1.0], [14, -1, 1.0]]",[],[],[],[],[],"[[2, -1, 1.0], [15, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[]
B4,"[[3, 1, 1.0], [7, 1, 1.0]]",[],[],[],[],[],[],[],[],[],"[[6, 1, 1.0], [14, -1, 1.0]]",[],[],[],[],[],[],[],[]
B5,"[[9, -1, 1.0], [15, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[[3, 1, 1.0], [7, 1, 1.0], [10, -1, 1.0], [14, -1, 1.0]]",[],[],[],[]
B6,[],[],[],"[[8, -1, 1.0], [14, -1, 1.0]]","[[6, -1, -1.0], [7, 1, 1.0], [8, 1, 1.0], [10, -1, -1.0], [12, -1, -1.0], [14, -1, -1.0]]",[],[],[],[],[],"[[8, -1, 1.0], [15, 1, 1.0]]",[],[],[],[],[],[],[],[]
B7,[],"[[1, 1, 1.0], [6, -1, -1.0], [8, -1, -1.0], [13, 1, 1.0]]",[],"[[9, 1, -1.0], [13, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
B8,[],"[[9, 1, 1.0]]",[],[],[],"[[11, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[]
B9,[],[],"[[6, -1, 1.0], [9, 1, -1.0], [13, 1, -1.0]]","[[11, -1, 1.0]]","[[9, -1, 1.0], [11, -1, 1.0], [13, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
B10,[],[],[],"[[2, -1, 1.0]]",[],"[[3, 1, 1.0], [4, 1, 1.0]]",[],[],[],[],[],[],"[[1, 1, 1.0], [2, -1, 1.0], [5, -1, -1.0], [6, -1, 1.0], [7, 1, -1.0], [9, 1, 1.0], [10, 1, -1.0], [12, -1, 1.0], [13, 1, 1.0], [15, 1, 1.0]]",[],[],[],[],[],[]
B11,[],[],[],[],"[[2, -1, 1.0], [4, 1, -1.0], [15, 1, -1.0]]","[[1, -1, -1.0], [6, -1, -1.0]]",[],[],[],[],[],[],[],"[[1, 1, 1.0], [2, -1, -1.0], [5, -1, 1.0], [6, -1, 1.0], [7, 1, 1.0], [9, -1, -1.0], [10, -1, 1.0], [12, -1, 1.0], [13, 1, 1.0], [15, 1, -1.0]]",[],[],[],[],[]
B12,[],[],[],"[[4, 1, 1.0], [15, 1, 1.0]]",[],"[[9, 1, -1.0], [10, 1, -1.0], [12, -1, 1.0], [13, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],"[[2, 1, -1.0], [3, 1, 1.0], [5, -1, 1.0], [6, -1, -1.0], [11, -1, 1.0], [12, -1, -1.0], [13, 1, -1.0], [14, -1, -1.0]]"
B13,[],[],[],[],[],[],"[[1, -1, -1.0], [2, 1, 1.0], [3, 1, 1.0], [4, -1, -1.0], [5, 1, 1.0], [6, -1, -1.0], [7, -1, -1.0], [8, -1, -1.0], [9, 1, 1.0], [10, 1, 1.0], [11, 1, 1.0], [12, -1, -1.0], [13, 1, 1.0], [14, -1, -1.0], [15, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],"[[10, 1, 1.0], [15, 1, -1.0]]"
BN1,[],[],[],[],[],[],[],"[[3, 1, 1.0], [7, 1, -1.0]]","[[3, 1, 1.0], [14, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[]
BN2,[],[],[],[],[],[],[],[],"[[8, -1, 1.0]]",[],[],[],"[[3, 1, 1.0], [4, -1, 1.0], [8, -1, 1.0], [11, -1, -1.0], [14, -1, -1.0]]","[[3, 1, 1.0], [4, -1, 1.0], [8, 1, 1.0], [11, -1, -1.0], [14, -1, 1.0]]",[],[],[],[],[]
BN3,"[[8, -1, 1.0], [14, -1, 1.0]]",[],[],[],[],[],[],[],[],"[[8, -1, -1.0], [9, -1, 1.0], [12, 1, 1.0], [15, -1, 1.0]]",[],[],[],[],[],[],[],[],[]
BN4,[],[],[],[],[],[],[],[],[],"[[3, 1, 1.0], [7, 1, 1.0]]",[],"[[14, -1, 1.0]]",[],[],[],[],[],[],[]
BN5,[],[],[],[],[],[],[],[],[],[],"[[4, 1, 1.0], [12, -1, -1.0]]","[[2, 1, 1.0], [5, -1, 1.0]]",[],[],[],[],[],[],[]
BN6,[],[],[],[],[],[],[],[],[],[],"[[7, 1, 1.0]]",[],[],[],[],"[[6, -1, 1.0], [7, 1, 1.0], [8, -1, 1.0]]",[],[],[]
BN7,[],[],[],"[[6, -1, 1.0], [7, 1, 1.0]]",[],[],[],[],[],[],[],"[[7, 1, 1.0], [15, 1, -1.0]]",[],[],[],[],[],[],[]
BN8,[],[],[],[],[],"[[8, -1, 1.0], [14, -1, 1.0]]",[],[],[],[],[],"[[8, -1, 1.0]]",[],[],[],[],[],[],[]
BN9,[],[],[],[],[],[],[],[],[],[],[],"[[12, -1, 1.0], [13, 1, -1.0]]",[],[],[],[],"[[1, -1, 1.0], [2, 1, -1.0], [3, 1, 1.0], [4, 1, 1.0], [5, -1, -1.0], [6, -1, 1.0], [9, 1, 1.0], [10, 1, -1.0], [11, 1, -1.0], [12, 1, 1.0], [14, -1, 1.0], [15, 1, 1.0]]",[],[]
