,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
E1,0,0,0,0,0,0,0,0,0,0
E2,0,0,0,0,0,0,0,0,0,0
E3,-1,0,0,0,0,0,0,0,0,0
E4,1,0,0,0,0,0,0,0,0,0
E5,-1,0,0,0,0,0,0,0,0,0
E6,0,0,0,0,0,0,0,0,0,0
E7,1,0,0,0,0,0,0,0,0,0
E8,0,0,0,0,0,0,0,0,0,0
E9,0,0,0,0,0,0,0,0,0,0
E10,0,0,0,0,0,0,0,0,0,0
E11,-1,0,0,0,0,0,0,0,0,0
E12,0,0,0,0,0,0,0,0,0,0
E13,0,0,0,0,0,0,0,0,0,0
E14,0,0,0,0,0,0,0,0,0,0
E15,0,1,0,0,0,0,0,0,0,0
E16,0,-1,0,0,0,0,0,0,0,0
E17,0,0,1,0,0,0,0,0,0,0
E18,0,0,0,0,0,0,0,0,0,0
E19,0,0,1,0,0,0,0,0,0,0
E20,0,0,-1,0,0,0,0,0,0,0
E21,0,0,0,1,0,0,0,0,0,0
E22,0,0,0,1,0,0,0,0,0,0
E23,0,1,0,0,0,0,0,0,0,0
E24,0,0,0,-1,0,0,0,0,0,0
E25,0,0,0,0,1,-1,0,0,0,0
E26,0,0,0,0,1,1,0,0,0,0
E27,1,0,0,0,0,2,0,0,0,0
E28,0,0,0,0,2,0,0,0,0,0
E29,0,0,0,0,-1,0,0,0,0,0
E30,0,-1,0,0,0,-1,0,0,0,0
E31,-4,0,0,0,0,0,0,0,0,0
E32,0,0,0,0,0,0,0,0,0,0
E33,0,0,0,0,-1,0,-1,0,0,0
E34,0,0,1,0,-1,0,1,0,0,0
E35,0,0,0,0,0,0,1,0,0,0
E36,0,0,0,-1,0,-1,-1,0,0,0
E37,0,-1,0,2,0,0,0,0,0,0
E38,0,0,0,0,0,0,0,1,0,0
E39,0,0,-1,0,0,0,0,-1,0,0
E40,0,0,0,0,0,0,0,-2,0,0
E41,0,0,0,0,0,0,0,-2,0,0
E42,0,1,0,1,0,0,0,-1,0,0
E43,0,0,1,0,1,1,0,0,0,0
E44,0,0,0,0,0,1,-1,0,0,0
E45,0,0,0,0,0,1,-1,0,0,0
E46,0,0,0,0,0,0,0,0,0,0
E47,0,0,0,0,1,0,-1,0,0,0
E48,1,0,0,0,0,2,0,0,0,0
E49,0,0,1,0,0,0,0,0,0,0
E50,0,0,1,0,0,0,0,0,0,0
E51,0,0,0,0,-1,0,-1,0,0,0
E52,0,0,1,0,2,0,0,0,0,0
E53,0,1,0,0,-1,0,-1,0,0,0
E54,0,0,-1,0,1,0,-1,0,-1,0
E55,0,0,0,0,0,2,0,0,1,0
E56,0,0,0,0,0,-1,1,-1,1,0
E57,0,0,0,0,-1,0,0,1,0,0
E58,0,0,0,0,0,0,0,-1,0,1
E59,0,-2,0,0,0,0,0,-2,0,-1
E60,0,0,0,0,0,1,0,0,0,-1
E61,0,1,0,0,0,0,0,-2,0,0
E62,0,0,0,1,0,0,0,0,0,2
E63,0,0,0,0,0,0,0,2,0,1
E64,0,1,0,0,-2,0,0,0,0,0
E65,0,0,0,1,0,0,2,0,0,0
E66,0,0,0,0,0,0,0,0,0,0
E67,0,0,0,0,0,0,-2,0,0,0
E68,0,0,0,0,4,0,0,0,2,0
E69,0,0,0,0,-1,0,0,1,-1,0
E70,0,0,0,0,1,0,0,-1,-1,0
E71,0,0,0,0,0,0,0,0,-2,1
E72,0,0,0,0,0,0,1,1,0,-1
E73,0,0,0,0,0,0,1,1,0,-1
E74,0,0,0,0,0,0,0,0,-2,0
E75,0,0,0,0,0,0,0,0,2,0
