,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
EN1,0,0,0,0,0,0,0,0,0,0
EN2,0,0,0,0,0,0,0,0,0,0
EN3,0,0,0,0,0,0,0,0,0,0
EN4,0,0,0,0,0,0,0,0,0,0
EN5,0,0,0,0,0,0,0,0,0,0
EN6,0,0,0,0,0,0,0,0,0,0
EN7,0,0,0,0,0,0,0,0,0,0
EN8,0,0,0,0,0,0,0,0,0,0
EN9,0,0,0,0,0,0,0,0,0,0
EN10,0,0,0,0,0,0,0,0,0,0
EN11,0,0,0,0,0,0,0,0,0,0
EN12,0,0,0,0,0,0,0,0,0,0
EN13,0,0,0,0,0,0,0,0,0,0
EN14,0,0,0,0,0,0,0,0,0,0
EN15,0,0,0,0,0,0,0,0,0,0
EN16,0,0,0,0,0,0,0,0,0,0
EN17,0,0,0,0,0,0,0,0,0,0
EN18,0,0,0,0,0,0,0,0,0,0
EN19,0,0,0,0,0,0,0,0,0,0
EN20,0,0,0,0,0,0,0,0,0,0
EN21,0,0,0,0,0,0,0,0,0,0
EN22,0,0,0,0,0,0,0,0,0,0
EN23,0,0,0,0,0,0,0,0,0,0
EN24,0,0,0,0,0,0,0,0,0,0
EN25,0,0,0,0,0,0,0,0,0,0
EN26,0,0,0,0,0,0,0,0,0,0
EN27,0,0,0,0,0,0,0,0,0,0
EN28,0,0,0,0,0,0,0,0,0,0
EN29,0,0,0,0,0,0,0,0,0,0
EN30,0,0,0,0,0,0,0,0,0,0
EN31,0,0,0,0,0,0,0,0,0,0
EN32,0,0,0,0,0,0,0,0,0,0
EN33,0,0,0,0,0,0,0,0,0,0
EN34,0,0,0,0,0,0,0,0,0,0
EN35,0,0,0,0,0,0,0,0,0,0
EN36,0,0,0,0,0,0,0,0,0,0
EN37,0,0,0,0,0,0,0,0,0,0
EN38,0,0,0,0,0,0,0,0,0,0
EN39,0,0,0,0,0,0,0,0,0,0
EN40,0,0,0,0,0,0,0,0,0,0
EN41,0,0,0,0,0,0,0,0,0,0
EN42,0,0,0,0,0,0,0,0,0,0
EN43,0,0,0,0,0,0,0,0,0,0
EN44,0,0,0,0,0,0,0,0,0,0
EN45,0,0,0,0,0,0,0,0,0,0
EN46,0,0,0,0,0,0,0,0,0,0
EN47,0,0,0,0,0,0,0,0,0,0
EN48,0,0,0,0,0,0,0,0,0,0
EN49,0,0,0,0,0,0,0,0,0,0
EN50,0,0,0,0,0,0,0,0,0,0
EN51,0,0,0,0,0,0,0,0,0,0
EN52,0,0,0,0,0,0,0,0,0,0
EN53,0,0,0,0,0,0,0,0,0,0
EN54,0,0,0,0,0,0,0,0,0,0
EN55,0,0,0,0,0,0,0,0,0,0
EN56,0,0,0,0,0,0,0,0,0,0
EN57,0,0,0,0,0,0,0,0,0,0
EN58,0,0,0,0,0,0,0,0,0,0
EN59,0,0,0,0,0,0,0,0,0,0
EN60,0,0,0,0,0,0,0,0,0,0
EN61,0,0,0,0,0,0,0,0,0,0
